feature,face1,face2,diff
border_cohesion,1.0,0.33323140172943955,0.6667685982705605
high_frequency_content,214.06155420634562,216.0633292083025,-2.0017750019568723
structural_entropy,6.33374547958374,6.240909576416016,0.09283590316772461
frequency_std,29.185276348517302,28.632881386225634,0.5523949622916682
border_color_density_cohesion,153.62898875631168,149.99476741497418,3.6342213413375077
cluster_coherence,0.9834733272341883,0.9964524124154152,-0.012979085181226813
depth_variance,2397.2878828767634,2335.234236398503,62.05364647826036
multiscale_complexity,5.604399348098638,5.787101231647704,-0.18270188354906658
color_consistency,23.773079003015866,22.850460620879282,0.9226183821365836
point_count,3136.0,3481.0,-345.0
blur_consistency,6.5482566930433785,5.475726172107612,1.072530520935767
texture_variation,292.0988520408163,244.02240735420855,48.07644468660777
laplacian_variance,14.627261849883803,11.744157481663825,2.8831043682199784
