feature,face1,face2,diff
depth_variance,2578.66543294886,2948.4284107668286,-369.7629778179685
edge_density,0.033708833487226836,0.029994673842962463,0.0037141596442643726
border_cohesion,0.07088374539715939,0.05787728026533997,0.013006465131819418
border_color_density_cohesion,119.56945553223589,115.18752244467714,4.38193308755875
border_edge_cohesion,0.03296268841116877,0.021569734613212873,0.011392953797955897
point_count,81225.0,71346.0,9879.0
frequency_std,30.409614703254974,29.688042353910856,0.7215723493441182
high_frequency_content,225.08932174955763,222.44067804819707,2.6486437013605553
skin_tone_consistency,0.5183502616189597,0.5358674627869817,-0.017517201168022023
blur_consistency,123.24823353439807,184.78883295604933,-61.540599421651265
focus_measure,200.09333525542482,283.31198665637845,-83.21865140095363
laplacian_variance,200.09333525542482,283.31198665637845,-83.21865140095363
surface_roughness,0.14988937206187405,0.14409876970610921,0.00579060235576484
multiscale_complexity,2.9104813795750553,1.5716341715192925,1.3388472080557627
linearity,0.004138832420306137,0.1476496338992709,-0.14351080147896478
planarity,0.6206058156918376,0.46038120830353074,0.16022460738830685
scattering,0.3752553518878563,0.3919691577971984,-0.016713805909342072
anisotropy,0.3062157578161346,0.3168649711397432,-0.01064921332360863
