feature,face1,face2,diff
depth_variance,2410.2619753280255,2227.6772880798485,182.58468724817703
edge_density,0.02398572278405711,0.0212411495210329,0.0027445732630242067
border_color_density_cohesion,100.38321471046439,102.86192011882702,-2.4787054083626288
border_edge_cohesion,0.002773792443806791,0.0,0.002773792443806791
point_count,2704.0,2401.0,303.0
frequency_std,30.508439885311624,29.73427658780251,0.7741632975091157
skin_tone_consistency,0.29929803688280787,0.31950229071220326,-0.02020425382939539
laplacian_variance,46.80577453167482,46.18492138757261,0.6208531441022132
multiscale_complexity,5.439763445492979,4.345575975027052,1.0941874704659265
linearity,0.23590294727525377,0.23141311106125234,0.004489836214001425
planarity,0.48899165603699546,0.46494888862350064,0.024042767413494814
scattering,0.2751053966877508,0.30363800031524707,-0.028532603627496267
anisotropy,0.40694526821683213,0.4025866966573322,0.004358571559499924
