feature,face1,face2,diff
border_cohesion,1.0,1.0,0.0
structural_entropy,6.852999687194824,6.8788652420043945,-0.025865554809570312
color_consistency,17.10956767563928,17.036413346406356,0.0731543292329242
frequency_std,31.055928940181403,30.653492973863678,0.40243596631772505
high_frequency_content,190.86170773021135,187.21425928264324,3.6474484475681095
texture_variation,720.3163556431946,705.2799973344439,15.036358308750664
multiscale_complexity,5.119446628584323,4.998921260348094,0.12052536823622884
depth_variance,1672.067555917543,1605.690353019575,66.37720289796789
point_count,1296.0,1225.0,71.0
focus_measure,49.323483974536444,46.19621509001959,3.1272688845168517
laplacian_variance,49.323483974536444,46.19621509001959,3.1272688845168517
blur_consistency,16.726413449862843,15.591482040276956,1.134931409585887
border_color_density_cohesion,101.1412209094803,88.54330035585508,12.597920553625215
