feature,face1,face2,diff
edge_density,0.010909339625867789,0.007508650519031142,0.0034006891068366464
border_cohesion,0.18746736292428198,0.14652631578947367,0.04094104713480831
border_color_density_cohesion,41.27468238028586,43.741806148701215,-2.4671237684153553
border_edge_cohesion,0.0029239766081871343,0.0051820728291316525,-0.002258096220944518
point_count,1225.0,1156.0,69.0
high_frequency_content,190.03226660692147,187.53641533750263,2.4958512694188357
laplacian_variance,26.82596026962282,25.38255932160774,1.4434009480150785
multiscale_complexity,5.576574833246348,4.742658549306816,0.8339162839395327
linearity,0.016568331192270833,0.018637856781157057,-0.0020695255888862236
planarity,0.8169750887143762,0.8361822552082622,-0.019207166493885985
scattering,0.16645658009335293,0.14517988801058074,0.02127669208277219
anisotropy,0.3421316087897461,0.35227748136613984,-0.010145872576393766
