feature,face1,face2,diff
edge_density,0.042727623456790126,0.030688901912728436,0.01203872154406169
border_cohesion,0.17748413006866173,0.28055555555555556,-0.10307142548689383
border_color_density_cohesion,105.40332218044468,103.89432065099793,1.5090015294467491
border_edge_cohesion,0.027391975308641976,0.01953628166595105,0.007855693642690925
point_count,1296.0,1225.0,71.0
frequency_std,31.28375329024681,29.965343834272144,1.3184094559746669
high_frequency_content,193.61002439688826,187.55092138696767,6.059103009920591
color_consistency,13.739033862772546,12.72354392531837,1.0154899374541753
skin_tone_consistency,0.7141685956790124,0.7594970429964303,-0.04532844731741792
laplacian_variance,56.48805084019203,45.52043436270866,10.967616477483368
surface_roughness,0.1710434282465302,0.16071499238564854,0.010328435860881668
multiscale_complexity,5.496632376664786,6.035525497144529,-0.5388931204797425
linearity,0.5100486386720363,0.5259357655703204,-0.015887126898284087
planarity,0.04215320059883299,0.06493100370447447,-0.022777803105641474
scattering,0.44779816072913065,0.4091332307252052,0.03866493000392546
anisotropy,0.3320142964336137,0.3269253394614888,0.005088956972124914
