feature,face1,face2,diff
edge_density,0.047841975308641975,0.042024993281375975,0.005816982027266
border_cohesion,0.3034472097696707,1.0,-0.6965527902303292
border_color_density_cohesion,241.91049072303025,225.28050042781405,16.629990295216203
border_edge_cohesion,0.03246031746031746,0.013571620532115023,0.018888696928202435
point_count,3249.0,59536.0,-56287.0
frequency_std,32.54440168216261,23.99070302340893,8.553698658753678
high_frequency_content,215.2656352451955,220.81707678558013,-5.551441540384616
color_consistency,15.156037720544607,14.253088808376727,0.9029489121678793
skin_tone_consistency,0.32981728395061727,0.3125839828003225,0.017233301150294755
focus_measure,65.23493819171468,273.65760518554595,-208.42266699383129
laplacian_variance,65.23493819171468,273.65760518554595,-208.42266699383129
surface_roughness,0.1648810253630066,0.1622421301833766,0.0026388951796300075
multiscale_complexity,6.130991377353183,2.1327373950368482,3.998253982316335
linearity,0.4168955409561035,0.28579329568695194,0.13110224526915154
planarity,0.06803695452136962,0.02773316242999539,0.04030379209137423
scattering,0.5150675045225269,0.6864735418830527,-0.17140603736052573
