feature,face1,face2,diff
border_cohesion,0.19597743438803042,0.2502870264064294,-0.054309592018398994
border_color_density_cohesion,200.09815743943568,215.70636741023782,-15.608209970802136
border_edge_cohesion,0.0253592561284869,0.010869565217391304,0.014489690911095594
point_count,3249.0,3844.0,-595.0
frequency_std,33.821295960777476,32.386710559703815,1.4345854010736616
color_consistency,15.026487724576935,13.739207870796733,1.287279853780202
focus_measure,94.2143357574981,89.13038452736889,5.083951230129216
laplacian_variance,94.2143357574981,89.13038452736889,5.083951230129216
surface_roughness,0.21783999735876705,0.19219580652051693,0.02564419083825012
multiscale_complexity,6.116842020493119,4.001759705493141,2.1150823149999782
cluster_coherence,0.6525029147891452,0.7271443900311718,-0.07464147524202658
linearity,0.6692982478618322,0.6178667101666524,0.05143153769517983
planarity,0.07697737347990626,0.05560589988049074,0.021371473599415512
scattering,0.25372437865826153,0.3265273899528568,-0.07280301129459527
