feature,face1,face2,diff
high_frequency_content,209.3203863161124,210.13889687722306,-0.8185105611106565
frequency_std,28.01433058476402,28.273625095172825,-0.2592945104088038
multiscale_complexity,4.985315091815717,4.907011363217794,0.07830372859792245
color_consistency,21.030312239282736,21.385941423170102,-0.3556291838873662
structural_entropy,6.718951225280762,6.894783020019531,-0.17583179473876953
point_count,2601.0,2704.0,-103.0
border_color_density_cohesion,99.35120630340212,104.61215111829743,-5.260944814895311
focus_measure,10.864960718590199,10.255568952065035,0.6093917665251638
laplacian_variance,10.864960718590199,10.255568952065035,0.6093917665251638
texture_variation,248.88196610861968,264.5414179300444,-15.659451821424739
depth_variance,2194.688925872269,2341.554366093624,-146.86544022135513
blur_consistency,1.997916636823883,3.368502702786853,-1.37058606596297
cluster_coherence,0.826468711237964,0.8299744087216667,-0.0035056974837027743
